Dataset 1,Dataset 2,Pearson,Spearman,Overlapping observations,Overlap start,Overlap end,Category 1,Category 2,Candidate
Real Personal Consumption Expenditure,M2 Money Supply,-0.23713042865851078,-0.02880757874822344,234,2007-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Consumption Expenditure,Total Capacity Utilization,0.7488481930129481,0.33279300866869616,234,2007-02-01,2026-07-01,Growth / Activity,External / Structural,False
Real Personal Income excluding transfers,Real Personal Income,0.1996610171268745,0.8359507285288303,810,1959-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Income excluding transfers,Real Retail & Food Services Sales,0.36335419279875153,0.11445633120420085,412,1992-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Income excluding transfers,Housing Starts,0.17733993756669722,0.0961444792979169,810,1959-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Income excluding transfers,Building Permits,0.11965264947579357,0.08025409211532851,798,1960-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Income excluding transfers,Nonfarm Payroll Employment,0.5078177746913345,0.4686552554484071,810,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income excluding transfers,Unemployment Rate,-0.4648869376569451,-0.27359395153441923,808,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income excluding transfers,Average Weekly Hours — Total Private,0.17679177187099007,0.15258684445854595,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income excluding transfers,Average Weekly Hours — Manufacturing,0.3335327100104319,0.2586728480772243,810,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income excluding transfers,Job Openings,0.3776936858400244,0.249233362281839,307,2001-01-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income excluding transfers,Labor Force Participation Rate,0.2861923889209689,0.10928192434095932,808,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income excluding transfers,Average Hourly Earnings — Total Private,-0.4988369134356979,0.004776416300273748,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income excluding transfers,CPI All Items,-0.10308877217206862,-0.21468380685416316,808,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income excluding transfers,Core CPI,-0.000141282336895991,-0.040220712711923956,808,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income excluding transfers,PCE Price Index,-0.14245034188697367,-0.2626182207849555,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income excluding transfers,Core PCE Price Index,-0.08679465841345464,-0.15613211714379374,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income excluding transfers,Producer Prices — Final Demand,0.050226179502563195,-0.15942780668701312,200,2009-12-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income excluding transfers,Producer Prices — All Commodities,-0.06194570491468059,-0.15550407145378103,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income excluding transfers,Commercial & Industrial Loans,-0.16710759725751875,0.09036717753694917,810,1959-02-01,2026-07-01,Growth / Activity,Credit,False
Real Personal Income excluding transfers,Consumer Credit,0.1970754177057788,0.22580421326433742,810,1959-02-01,2026-07-01,Growth / Activity,Credit,False
Real Personal Income excluding transfers,Federal Funds Rate,0.10442080811621275,0.16202945526879675,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Income excluding transfers,Total Bank Reserves,-0.05300476822568715,0.0011879857041226028,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Income excluding transfers,M2 Money Supply,-0.09787999798329003,0.10206360626619304,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Income excluding transfers,Total Capacity Utilization,0.44100238933645797,0.3275571163888607,714,1967-02-01,2026-07-01,Growth / Activity,External / Structural,False
Real Personal Income,Real Retail & Food Services Sales,0.03360099388546094,0.08190612212383398,412,1992-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Income,Housing Starts,0.08770072912591007,0.08276035250962786,810,1959-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Income,Building Permits,0.0027985432061926403,0.058112129710353594,798,1960-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Income,Nonfarm Payroll Employment,-0.270938193931337,0.3363932599828402,810,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income,Unemployment Rate,0.3003294346263365,-0.16634418235951037,808,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income,Average Weekly Hours — Total Private,0.24185964420703224,0.166677776933165,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income,Average Weekly Hours — Manufacturing,-0.06806142562903413,0.17945862430002085,810,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income,Job Openings,-0.02651887399350727,0.18815533320227706,307,2001-01-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income,Labor Force Participation Rate,-0.15623442780240246,0.0803444500141384,808,1959-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income,Average Hourly Earnings — Total Private,0.24718376001328474,-0.046730732218987485,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Income,CPI All Items,-0.12242896491088771,-0.22926548933520066,808,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income,Core CPI,-0.09526505380557146,-0.057265420354020394,808,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income,PCE Price Index,-0.11248546977502083,-0.25334936192950025,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income,Core PCE Price Index,-0.09435919993961481,-0.14702475174111315,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income,Producer Prices — Final Demand,-0.10091953235049285,-0.26271558616866936,200,2009-12-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income,Producer Prices — All Commodities,-0.11269110024344033,-0.17665769776675547,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Income,Commercial & Industrial Loans,0.15837881107690677,0.08099472115573345,810,1959-02-01,2026-07-01,Growth / Activity,Credit,False
Real Personal Income,Consumer Credit,0.009944447637017555,0.1868058981387915,810,1959-02-01,2026-07-01,Growth / Activity,Credit,False
Real Personal Income,Federal Funds Rate,0.010617943349712144,0.11861672277007344,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Income,Total Bank Reserves,0.0671527033146846,0.020558990334026996,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Income,M2 Money Supply,0.11844744170466942,0.08085886813072343,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Income,Total Capacity Utilization,-0.02027328539664183,0.22780823069416684,714,1967-02-01,2026-07-01,Growth / Activity,External / Structural,False
Real Retail & Food Services Sales,Housing Starts,0.30560355919166304,0.20452149566795838,413,1992-02-01,2026-08-01,Growth / Activity,Growth / Activity,False
Real Retail & Food Services Sales,Building Permits,0.32224771834403004,0.2246839494162347,413,1992-02-01,2026-08-01,Growth / Activity,Growth / Activity,False
Real Retail & Food Services Sales,Nonfarm Payroll Employment,0.5490333733156305,0.19171129714008822,413,1992-02-01,2026-08-01,Growth / Activity,Labor,False
Real Retail & Food Services Sales,Unemployment Rate,-0.5175610532140149,0.001038345263919788,413,1992-02-01,2026-08-01,Growth / Activity,Labor,False
Real Retail & Food Services Sales,Average Weekly Hours — Total Private,0.35426208049320856,0.18495742366687404,243,2006-04-01,2026-08-01,Growth / Activity,Labor,False
Real Retail & Food Services Sales,Average Weekly Hours — Manufacturing,0.4553760174609087,0.14120952126172484,413,1992-02-01,2026-08-01,Growth / Activity,Labor,False
Real Retail & Food Services Sales,Job Openings,0.33230893080212826,0.1330038713440295,305,2001-01-01,2026-07-01,Growth / Activity,Labor,False
Real Retail & Food Services Sales,Labor Force Participation Rate,0.44149729473759974,0.013519206412350344,413,1992-02-01,2026-08-01,Growth / Activity,Labor,False
Real Retail & Food Services Sales,Average Hourly Earnings — Total Private,-0.6415856536707308,-0.19730151509914695,243,2006-04-01,2026-08-01,Growth / Activity,Labor,False
Real Retail & Food Services Sales,CPI All Items,0.13095869317058784,0.06440127034094696,413,1992-02-01,2026-08-01,Growth / Activity,Inflation,False
Real Retail & Food Services Sales,Core CPI,0.02766145323441869,-0.08830059829610465,413,1992-02-01,2026-08-01,Growth / Activity,Inflation,False
Real Retail & Food Services Sales,PCE Price Index,0.1891542295339303,0.07509365601421109,412,1992-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Retail & Food Services Sales,Core PCE Price Index,0.19289017317994495,-0.013302949877980162,412,1992-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Retail & Food Services Sales,Producer Prices — Final Demand,0.2518530754406502,0.18597858701639222,199,2009-12-01,2026-08-01,Growth / Activity,Inflation,False
Real Retail & Food Services Sales,Producer Prices — All Commodities,0.23756057725592475,0.16877056259273543,413,1992-02-01,2026-08-01,Growth / Activity,Inflation,False
Real Retail & Food Services Sales,Commercial & Industrial Loans,-0.28820427349803773,-0.03546106690591293,413,1992-02-01,2026-08-01,Growth / Activity,Credit,False
Real Retail & Food Services Sales,Consumer Credit,0.11033659449567272,0.13436198154111154,412,1992-02-01,2026-07-01,Growth / Activity,Credit,False
Real Retail & Food Services Sales,Federal Funds Rate,0.1442257203874371,0.017601006588150184,413,1992-02-01,2026-08-01,Growth / Activity,Policy / Liquidity,False
Real Retail & Food Services Sales,Total Bank Reserves,-0.20221430936909832,-0.0025308693955486666,412,1992-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Retail & Food Services Sales,M2 Money Supply,-0.06346124108780933,-0.040585600906956565,412,1992-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Retail & Food Services Sales,Total Capacity Utilization,0.5331068465054309,0.19768295022411456,412,1992-02-01,2026-07-01,Growth / Activity,External / Structural,False
Housing Starts,Building Permits,0.3952693378071985,0.3254349291568841,799,1960-02-01,2026-08-01,Growth / Activity,Growth / Activity,False
Housing Starts,Nonfarm Payroll Employment,0.16749391697309948,0.0928425652170932,811,1959-02-01,2026-08-01,Growth / Activity,Labor,False
Housing Starts,Unemployment Rate,-0.15222234923074213,-0.06986119501986318,809,1959-02-01,2026-08-01,Growth / Activity,Labor,False
Housing Starts,Average Weekly Hours — Total Private,0.1229349301878926,0.05830673722938463,245,2006-04-01,2026-08-01,Growth / Activity,Labor,False
Housing Starts,Average Weekly Hours — Manufacturing,0.21777058549162764,0.16244593164528154,811,1959-02-01,2026-08-01,Growth / Activity,Labor,False
Housing Starts,Job Openings,0.1560232481477586,0.08659709969536718,307,2001-01-01,2026-07-01,Growth / Activity,Labor,False
Housing Starts,Labor Force Participation Rate,0.12951509694232105,0.03725942626730746,809,1959-02-01,2026-08-01,Growth / Activity,Labor,False
Housing Starts,Average Hourly Earnings — Total Private,-0.29640063337079786,-0.23048395695939244,245,2006-04-01,2026-08-01,Growth / Activity,Labor,False
Housing Starts,CPI All Items,0.001884618030997827,-0.033322015007957784,809,1959-02-01,2026-08-01,Growth / Activity,Inflation,False
Housing Starts,Core CPI,-0.033200498529774296,-0.020418156574049693,809,1959-02-01,2026-08-01,Growth / Activity,Inflation,False
Housing Starts,PCE Price Index,0.014042380798450521,-0.015683701346201815,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Housing Starts,Core PCE Price Index,0.002477991163320488,-0.010322257865497642,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Housing Starts,Producer Prices — Final Demand,0.10655292128393387,0.1072186872395627,201,2009-12-01,2026-08-01,Growth / Activity,Inflation,False
Housing Starts,Producer Prices — All Commodities,0.025918768859365237,0.011491043667536043,811,1959-02-01,2026-08-01,Growth / Activity,Inflation,False
Housing Starts,Commercial & Industrial Loans,-0.1359366735073559,-0.08159513379530957,811,1959-02-01,2026-08-01,Growth / Activity,Credit,False
Housing Starts,Consumer Credit,0.06147109289211669,0.040845083048340114,810,1959-02-01,2026-07-01,Growth / Activity,Credit,False
Housing Starts,Federal Funds Rate,-0.005736950415849165,-0.022039605398514295,811,1959-02-01,2026-08-01,Growth / Activity,Policy / Liquidity,False
Housing Starts,Total Bank Reserves,-0.08742604912591039,-0.03325619714116369,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Housing Starts,M2 Money Supply,0.012122123082339387,0.05501906394455342,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Housing Starts,Total Capacity Utilization,0.2364490827364121,0.13157630171724685,714,1967-02-01,2026-07-01,Growth / Activity,External / Structural,False
Building Permits,Nonfarm Payroll Employment,0.15575082783958302,0.09745117538403199,799,1960-02-01,2026-08-01,Growth / Activity,Labor,False
Building Permits,Unemployment Rate,-0.15700383786182673,-0.053839170208671655,797,1960-02-01,2026-08-01,Growth / Activity,Labor,False
Building Permits,Average Weekly Hours — Total Private,0.11579622122873288,0.03122898727563357,245,2006-04-01,2026-08-01,Growth / Activity,Labor,False
Building Permits,Average Weekly Hours — Manufacturing,0.21504713986276155,0.16827569481697724,799,1960-02-01,2026-08-01,Growth / Activity,Labor,False
Building Permits,Job Openings,0.122242548470594,0.09120522118288509,307,2001-01-01,2026-07-01,Growth / Activity,Labor,False
Building Permits,Labor Force Participation Rate,0.14458201958829495,0.047114978656568336,797,1960-02-01,2026-08-01,Growth / Activity,Labor,False
Building Permits,Average Hourly Earnings — Total Private,-0.3166813276581637,-0.20278324505434325,245,2006-04-01,2026-08-01,Growth / Activity,Labor,False
Building Permits,CPI All Items,-0.012541196020107876,-0.03501987093561086,797,1960-02-01,2026-08-01,Growth / Activity,Inflation,False
Building Permits,Core CPI,-0.07467739488169724,-0.05912835266578047,797,1960-02-01,2026-08-01,Growth / Activity,Inflation,False
Building Permits,PCE Price Index,0.016358912096957643,-0.003319613698336561,798,1960-02-01,2026-07-01,Growth / Activity,Inflation,False
Building Permits,Core PCE Price Index,-0.014925697569105634,-0.010626744938220618,798,1960-02-01,2026-07-01,Growth / Activity,Inflation,False
Building Permits,Producer Prices — Final Demand,0.09207890080369459,0.0626952785471876,201,2009-12-01,2026-08-01,Growth / Activity,Inflation,False
Building Permits,Producer Prices — All Commodities,0.053380687084804125,-0.011262537084320151,799,1960-02-01,2026-08-01,Growth / Activity,Inflation,False
Building Permits,Commercial & Industrial Loans,-0.146594577735158,-0.09935214187353973,799,1960-02-01,2026-08-01,Growth / Activity,Credit,False
Building Permits,Consumer Credit,0.04601122988457113,0.01743680911967243,798,1960-02-01,2026-07-01,Growth / Activity,Credit,False
Building Permits,Federal Funds Rate,-0.09549442265124992,-0.04420019916487305,799,1960-02-01,2026-08-01,Growth / Activity,Policy / Liquidity,False
Building Permits,Total Bank Reserves,-0.1244948566803566,-0.02277753749340101,798,1960-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Building Permits,M2 Money Supply,0.08498161822897386,0.15999077440366,798,1960-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Building Permits,Total Capacity Utilization,0.21154633446578283,0.15758070731321752,714,1967-02-01,2026-07-01,Growth / Activity,External / Structural,False
Nonfarm Payroll Employment,Unemployment Rate,-0.8785816838019592,-0.4281452417923607,941,1948-02-01,2026-08-01,Labor,Labor,False
Nonfarm Payroll Employment,Average Weekly Hours — Total Private,0.016112715715103882,0.19415862091300556,245,2006-04-01,2026-08-01,Labor,Labor,False
Nonfarm Payroll Employment,Average Weekly Hours — Manufacturing,0.3719502849051045,0.2365522476765051,1051,1939-02-01,2026-08-01,Labor,Labor,False
Nonfarm Payroll Employment,Job Openings,0.3343775935957078,0.3273889360304382,307,2001-01-01,2026-07-01,Labor,Labor,False
Nonfarm Payroll Employment,Labor Force Participation Rate,0.4046080033555916,0.1483227093361454,941,1948-02-01,2026-08-01,Labor,Labor,False
Nonfarm Payroll Employment,Average Hourly Earnings — Total Private,-0.8469216949745176,-0.06697723986871722,245,2006-04-01,2026-08-01,Labor,Labor,False
Nonfarm Payroll Employment,CPI All Items,0.1547721624546036,0.12415983003919594,953,1947-02-01,2026-08-01,Labor,Inflation,False
Nonfarm Payroll Employment,Core CPI,0.12413484844660697,0.1604846557245943,833,1957-02-01,2026-08-01,Labor,Inflation,False
Nonfarm Payroll Employment,PCE Price Index,0.12956302000100492,0.10603780506787354,810,1959-02-01,2026-07-01,Labor,Inflation,False
Nonfarm Payroll Employment,Core PCE Price Index,0.11108595353936179,0.11575460636501729,810,1959-02-01,2026-07-01,Labor,Inflation,False
Nonfarm Payroll Employment,Producer Prices — Final Demand,0.2729353863807038,0.21321744372117413,201,2009-12-01,2026-08-01,Labor,Inflation,False
Nonfarm Payroll Employment,Producer Prices — All Commodities,0.2468602939209736,0.17596946442468267,1051,1939-02-01,2026-08-01,Labor,Inflation,False
Nonfarm Payroll Employment,Commercial & Industrial Loans,-0.24116667206313133,0.28656294759452783,955,1947-02-01,2026-08-01,Labor,Credit,False
Nonfarm Payroll Employment,Consumer Credit,0.2537308148444412,0.4332532454418891,1002,1943-02-01,2026-07-01,Labor,Credit,False
Nonfarm Payroll Employment,Federal Funds Rate,0.1538647425346835,0.33918795107093064,865,1954-08-01,2026-08-01,Labor,Policy / Liquidity,False
