Dataset 1,Dataset 2,Correlation,Overlapping observations,Category 1,Category 2,Overlap start,Overlap end
Industrial Production,Producer Prices — Final Demand,0.2803787265050583,200,Growth / Activity,Inflation,2009-12-01,2026-07-01
Industrial Production,Producer Prices — All Commodities,0.3333581475937503,1290,Growth / Activity,Inflation,1919-02-01,2026-07-01
Industrial Production,Commercial & Industrial Loans,-0.11657819340814604,954,Growth / Activity,Credit,1947-02-01,2026-07-01
Industrial Production,Consumer Credit,0.19551335543441398,1002,Growth / Activity,Credit,1943-02-01,2026-07-01
Industrial Production,Federal Funds Rate,0.22551594745428702,864,Growth / Activity,Policy / Liquidity,1954-08-01,2026-07-01
Industrial Production,Total Bank Reserves,-0.17418187322380493,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Industrial Production,M2 Money Supply,-0.2121445079399475,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Industrial Production,Total Capacity Utilization,0.9836908972962016,714,Growth / Activity,External / Structural,1967-02-01,2026-07-01
Manufacturing Production,Real Personal Consumption Expenditure,0.8079733659461156,234,Growth / Activity,Growth / Activity,2007-02-01,2026-07-01
Manufacturing Production,Real Personal Income excluding transfers,0.48043609576883517,654,Growth / Activity,Growth / Activity,1972-02-01,2026-07-01
Manufacturing Production,Real Personal Income,-0.045568772272471296,654,Growth / Activity,Growth / Activity,1972-02-01,2026-07-01
Manufacturing Production,Real Retail & Food Services Sales,0.6166622968997635,412,Growth / Activity,Growth / Activity,1992-02-01,2026-07-01
Manufacturing Production,Housing Starts,0.2875575899708016,654,Growth / Activity,Growth / Activity,1972-02-01,2026-07-01
Manufacturing Production,Building Permits,0.22438877560779988,654,Growth / Activity,Growth / Activity,1972-02-01,2026-07-01
Manufacturing Production,Nonfarm Payroll Employment,0.7399529486365124,654,Growth / Activity,Labor,1972-02-01,2026-07-01
Manufacturing Production,Unemployment Rate,-0.6895593286158255,652,Growth / Activity,Labor,1972-02-01,2026-07-01
Manufacturing Production,Average Weekly Hours — Total Private,0.30116170188179764,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Manufacturing Production,Average Weekly Hours — Manufacturing,0.6239840922470111,654,Growth / Activity,Labor,1972-02-01,2026-07-01
Manufacturing Production,Job Openings,0.38913264876513437,307,Growth / Activity,Labor,2001-01-01,2026-07-01
Manufacturing Production,Labor Force Participation Rate,0.43914457219305786,652,Growth / Activity,Labor,1972-02-01,2026-07-01
Manufacturing Production,Average Hourly Earnings — Total Private,-0.7274894801038084,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Manufacturing Production,CPI All Items,0.12070416071568989,652,Growth / Activity,Inflation,1972-02-01,2026-07-01
Manufacturing Production,Core CPI,0.056544211751451565,652,Growth / Activity,Inflation,1972-02-01,2026-07-01
Manufacturing Production,PCE Price Index,0.10026733143247724,654,Growth / Activity,Inflation,1972-02-01,2026-07-01
Manufacturing Production,Core PCE Price Index,0.05919213730774405,654,Growth / Activity,Inflation,1972-02-01,2026-07-01
Manufacturing Production,Producer Prices — Final Demand,0.2808902025900349,200,Growth / Activity,Inflation,2009-12-01,2026-07-01
Manufacturing Production,Producer Prices — All Commodities,0.20599283723621192,654,Growth / Activity,Inflation,1972-02-01,2026-07-01
Manufacturing Production,Commercial & Industrial Loans,-0.3159680719662435,654,Growth / Activity,Credit,1972-02-01,2026-07-01
Manufacturing Production,Consumer Credit,0.23226431240436918,654,Growth / Activity,Credit,1972-02-01,2026-07-01
Manufacturing Production,Federal Funds Rate,0.25734987976808943,654,Growth / Activity,Policy / Liquidity,1972-02-01,2026-07-01
Manufacturing Production,Total Bank Reserves,-0.22716752865983048,654,Growth / Activity,Policy / Liquidity,1972-02-01,2026-07-01
Manufacturing Production,M2 Money Supply,-0.22515137517685765,654,Growth / Activity,Policy / Liquidity,1972-02-01,2026-07-01
Manufacturing Production,Total Capacity Utilization,0.9384523854007857,654,Growth / Activity,External / Structural,1972-02-01,2026-07-01
Real Personal Consumption Expenditure,Real Personal Income excluding transfers,0.5972610777283346,234,Growth / Activity,Growth / Activity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Real Personal Income,-0.11411987360906284,234,Growth / Activity,Growth / Activity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Real Retail & Food Services Sales,0.9212848215917803,232,Growth / Activity,Growth / Activity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Housing Starts,0.33852821075853723,234,Growth / Activity,Growth / Activity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Building Permits,0.3528709095855168,234,Growth / Activity,Growth / Activity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Nonfarm Payroll Employment,0.7846501749549302,234,Growth / Activity,Labor,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Unemployment Rate,-0.7635677574136712,232,Growth / Activity,Labor,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Average Weekly Hours — Total Private,0.2473785822795372,234,Growth / Activity,Labor,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Average Weekly Hours — Manufacturing,0.6795562547587989,234,Growth / Activity,Labor,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Job Openings,0.41666588848894437,234,Growth / Activity,Labor,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Labor Force Participation Rate,0.6963002917112873,232,Growth / Activity,Labor,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Average Hourly Earnings — Total Private,-0.7636481982861237,234,Growth / Activity,Labor,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,CPI All Items,0.2089637008577027,232,Growth / Activity,Inflation,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Core CPI,0.19448030766987304,232,Growth / Activity,Inflation,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,PCE Price Index,0.19913370307534645,234,Growth / Activity,Inflation,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Core PCE Price Index,0.22748290244652467,234,Growth / Activity,Inflation,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Producer Prices — Final Demand,0.24657975493489423,200,Growth / Activity,Inflation,2009-12-01,2026-07-01
Real Personal Consumption Expenditure,Producer Prices — All Commodities,0.27415987082738774,234,Growth / Activity,Inflation,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Commercial & Industrial Loans,-0.5341149732095443,234,Growth / Activity,Credit,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Consumer Credit,0.14884741843321264,234,Growth / Activity,Credit,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Federal Funds Rate,0.3100954553086046,234,Growth / Activity,Policy / Liquidity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Total Bank Reserves,-0.16186066784126868,234,Growth / Activity,Policy / Liquidity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,M2 Money Supply,-0.23713042865851078,234,Growth / Activity,Policy / Liquidity,2007-02-01,2026-07-01
Real Personal Consumption Expenditure,Total Capacity Utilization,0.7488481930129481,234,Growth / Activity,External / Structural,2007-02-01,2026-07-01
Real Personal Income excluding transfers,Real Personal Income,0.1996610171268745,810,Growth / Activity,Growth / Activity,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Real Retail & Food Services Sales,0.36335419279875153,412,Growth / Activity,Growth / Activity,1992-02-01,2026-07-01
Real Personal Income excluding transfers,Housing Starts,0.17733993756669722,810,Growth / Activity,Growth / Activity,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Building Permits,0.11965264947579357,798,Growth / Activity,Growth / Activity,1960-02-01,2026-07-01
Real Personal Income excluding transfers,Nonfarm Payroll Employment,0.5078177746913345,810,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Unemployment Rate,-0.4648869376569451,808,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Average Weekly Hours — Total Private,0.17679177187099007,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Real Personal Income excluding transfers,Average Weekly Hours — Manufacturing,0.3335327100104319,810,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Job Openings,0.3776936858400244,307,Growth / Activity,Labor,2001-01-01,2026-07-01
Real Personal Income excluding transfers,Labor Force Participation Rate,0.2861923889209689,808,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Average Hourly Earnings — Total Private,-0.4988369134356979,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Real Personal Income excluding transfers,CPI All Items,-0.10308877217206862,808,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Core CPI,-0.000141282336895991,808,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income excluding transfers,PCE Price Index,-0.14245034188697367,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Core PCE Price Index,-0.08679465841345464,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Producer Prices — Final Demand,0.050226179502563195,200,Growth / Activity,Inflation,2009-12-01,2026-07-01
Real Personal Income excluding transfers,Producer Prices — All Commodities,-0.06194570491468059,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Commercial & Industrial Loans,-0.16710759725751875,810,Growth / Activity,Credit,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Consumer Credit,0.1970754177057788,810,Growth / Activity,Credit,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Federal Funds Rate,0.10442080811621275,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Total Bank Reserves,-0.05300476822568715,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Real Personal Income excluding transfers,M2 Money Supply,-0.09787999798329003,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Real Personal Income excluding transfers,Total Capacity Utilization,0.44100238933645797,714,Growth / Activity,External / Structural,1967-02-01,2026-07-01
Real Personal Income,Real Retail & Food Services Sales,0.03360099388546094,412,Growth / Activity,Growth / Activity,1992-02-01,2026-07-01
Real Personal Income,Housing Starts,0.08770072912591007,810,Growth / Activity,Growth / Activity,1959-02-01,2026-07-01
Real Personal Income,Building Permits,0.0027985432061926403,798,Growth / Activity,Growth / Activity,1960-02-01,2026-07-01
Real Personal Income,Nonfarm Payroll Employment,-0.270938193931337,810,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income,Unemployment Rate,0.3003294346263365,808,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income,Average Weekly Hours — Total Private,0.24185964420703224,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Real Personal Income,Average Weekly Hours — Manufacturing,-0.06806142562903413,810,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income,Job Openings,-0.02651887399350727,307,Growth / Activity,Labor,2001-01-01,2026-07-01
Real Personal Income,Labor Force Participation Rate,-0.15623442780240246,808,Growth / Activity,Labor,1959-02-01,2026-07-01
Real Personal Income,Average Hourly Earnings — Total Private,0.24718376001328474,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Real Personal Income,CPI All Items,-0.12242896491088771,808,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income,Core CPI,-0.09526505380557146,808,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income,PCE Price Index,-0.11248546977502083,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income,Core PCE Price Index,-0.09435919993961481,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income,Producer Prices — Final Demand,-0.10091953235049285,200,Growth / Activity,Inflation,2009-12-01,2026-07-01
Real Personal Income,Producer Prices — All Commodities,-0.11269110024344033,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Real Personal Income,Commercial & Industrial Loans,0.15837881107690677,810,Growth / Activity,Credit,1959-02-01,2026-07-01
Real Personal Income,Consumer Credit,0.009944447637017555,810,Growth / Activity,Credit,1959-02-01,2026-07-01
Real Personal Income,Federal Funds Rate,0.010617943349712144,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Real Personal Income,Total Bank Reserves,0.0671527033146846,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Real Personal Income,M2 Money Supply,0.11844744170466942,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Real Personal Income,Total Capacity Utilization,-0.02027328539664183,714,Growth / Activity,External / Structural,1967-02-01,2026-07-01
Real Retail & Food Services Sales,Housing Starts,0.30560355919166304,413,Growth / Activity,Growth / Activity,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Building Permits,0.32224771834403004,413,Growth / Activity,Growth / Activity,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Nonfarm Payroll Employment,0.5490333733156305,413,Growth / Activity,Labor,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Unemployment Rate,-0.5175610532140149,413,Growth / Activity,Labor,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Average Weekly Hours — Total Private,0.35426208049320856,243,Growth / Activity,Labor,2006-04-01,2026-08-01
Real Retail & Food Services Sales,Average Weekly Hours — Manufacturing,0.4553760174609087,413,Growth / Activity,Labor,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Job Openings,0.33230893080212826,305,Growth / Activity,Labor,2001-01-01,2026-07-01
Real Retail & Food Services Sales,Labor Force Participation Rate,0.44149729473759974,413,Growth / Activity,Labor,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Average Hourly Earnings — Total Private,-0.6415856536707308,243,Growth / Activity,Labor,2006-04-01,2026-08-01
Real Retail & Food Services Sales,CPI All Items,0.13095869317058784,413,Growth / Activity,Inflation,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Core CPI,0.02766145323441869,413,Growth / Activity,Inflation,1992-02-01,2026-08-01
Real Retail & Food Services Sales,PCE Price Index,0.1891542295339303,412,Growth / Activity,Inflation,1992-02-01,2026-07-01
Real Retail & Food Services Sales,Core PCE Price Index,0.19289017317994495,412,Growth / Activity,Inflation,1992-02-01,2026-07-01
Real Retail & Food Services Sales,Producer Prices — Final Demand,0.2518530754406502,199,Growth / Activity,Inflation,2009-12-01,2026-08-01
Real Retail & Food Services Sales,Producer Prices — All Commodities,0.23756057725592475,413,Growth / Activity,Inflation,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Commercial & Industrial Loans,-0.28820427349803773,413,Growth / Activity,Credit,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Consumer Credit,0.11033659449567272,412,Growth / Activity,Credit,1992-02-01,2026-07-01
Real Retail & Food Services Sales,Federal Funds Rate,0.1442257203874371,413,Growth / Activity,Policy / Liquidity,1992-02-01,2026-08-01
Real Retail & Food Services Sales,Total Bank Reserves,-0.20221430936909832,412,Growth / Activity,Policy / Liquidity,1992-02-01,2026-07-01
Real Retail & Food Services Sales,M2 Money Supply,-0.06346124108780933,412,Growth / Activity,Policy / Liquidity,1992-02-01,2026-07-01
Real Retail & Food Services Sales,Total Capacity Utilization,0.5331068465054309,412,Growth / Activity,External / Structural,1992-02-01,2026-07-01
Housing Starts,Building Permits,0.3952693378071985,799,Growth / Activity,Growth / Activity,1960-02-01,2026-08-01
Housing Starts,Nonfarm Payroll Employment,0.16749391697309948,811,Growth / Activity,Labor,1959-02-01,2026-08-01
Housing Starts,Unemployment Rate,-0.15222234923074213,809,Growth / Activity,Labor,1959-02-01,2026-08-01
Housing Starts,Average Weekly Hours — Total Private,0.1229349301878926,245,Growth / Activity,Labor,2006-04-01,2026-08-01
Housing Starts,Average Weekly Hours — Manufacturing,0.21777058549162764,811,Growth / Activity,Labor,1959-02-01,2026-08-01
Housing Starts,Job Openings,0.1560232481477586,307,Growth / Activity,Labor,2001-01-01,2026-07-01
Housing Starts,Labor Force Participation Rate,0.12951509694232105,809,Growth / Activity,Labor,1959-02-01,2026-08-01
Housing Starts,Average Hourly Earnings — Total Private,-0.29640063337079786,245,Growth / Activity,Labor,2006-04-01,2026-08-01
Housing Starts,CPI All Items,0.001884618030997827,809,Growth / Activity,Inflation,1959-02-01,2026-08-01
Housing Starts,Core CPI,-0.033200498529774296,809,Growth / Activity,Inflation,1959-02-01,2026-08-01
Housing Starts,PCE Price Index,0.014042380798450521,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Housing Starts,Core PCE Price Index,0.002477991163320488,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Housing Starts,Producer Prices — Final Demand,0.10655292128393387,201,Growth / Activity,Inflation,2009-12-01,2026-08-01
Housing Starts,Producer Prices — All Commodities,0.025918768859365237,811,Growth / Activity,Inflation,1959-02-01,2026-08-01
Housing Starts,Commercial & Industrial Loans,-0.1359366735073559,811,Growth / Activity,Credit,1959-02-01,2026-08-01
Housing Starts,Consumer Credit,0.06147109289211669,810,Growth / Activity,Credit,1959-02-01,2026-07-01
Housing Starts,Federal Funds Rate,-0.005736950415849165,811,Growth / Activity,Policy / Liquidity,1959-02-01,2026-08-01
Housing Starts,Total Bank Reserves,-0.08742604912591039,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Housing Starts,M2 Money Supply,0.012122123082339387,810,Growth / Activity,Policy / Liquidity,1959-02-01,2026-07-01
Housing Starts,Total Capacity Utilization,0.2364490827364121,714,Growth / Activity,External / Structural,1967-02-01,2026-07-01
Building Permits,Nonfarm Payroll Employment,0.15575082783958302,799,Growth / Activity,Labor,1960-02-01,2026-08-01
Building Permits,Unemployment Rate,-0.15700383786182673,797,Growth / Activity,Labor,1960-02-01,2026-08-01
Building Permits,Average Weekly Hours — Total Private,0.11579622122873288,245,Growth / Activity,Labor,2006-04-01,2026-08-01
Building Permits,Average Weekly Hours — Manufacturing,0.21504713986276155,799,Growth / Activity,Labor,1960-02-01,2026-08-01
Building Permits,Job Openings,0.122242548470594,307,Growth / Activity,Labor,2001-01-01,2026-07-01
Building Permits,Labor Force Participation Rate,0.14458201958829495,797,Growth / Activity,Labor,1960-02-01,2026-08-01
Building Permits,Average Hourly Earnings — Total Private,-0.3166813276581637,245,Growth / Activity,Labor,2006-04-01,2026-08-01
Building Permits,CPI All Items,-0.012541196020107876,797,Growth / Activity,Inflation,1960-02-01,2026-08-01
Building Permits,Core CPI,-0.07467739488169724,797,Growth / Activity,Inflation,1960-02-01,2026-08-01
Building Permits,PCE Price Index,0.016358912096957643,798,Growth / Activity,Inflation,1960-02-01,2026-07-01
Building Permits,Core PCE Price Index,-0.014925697569105634,798,Growth / Activity,Inflation,1960-02-01,2026-07-01
Building Permits,Producer Prices — Final Demand,0.09207890080369459,201,Growth / Activity,Inflation,2009-12-01,2026-08-01
Building Permits,Producer Prices — All Commodities,0.053380687084804125,799,Growth / Activity,Inflation,1960-02-01,2026-08-01
Building Permits,Commercial & Industrial Loans,-0.146594577735158,799,Growth / Activity,Credit,1960-02-01,2026-08-01
Building Permits,Consumer Credit,0.04601122988457113,798,Growth / Activity,Credit,1960-02-01,2026-07-01
Building Permits,Federal Funds Rate,-0.09549442265124992,799,Growth / Activity,Policy / Liquidity,1960-02-01,2026-08-01
Building Permits,Total Bank Reserves,-0.1244948566803566,798,Growth / Activity,Policy / Liquidity,1960-02-01,2026-07-01
Building Permits,M2 Money Supply,0.08498161822897386,798,Growth / Activity,Policy / Liquidity,1960-02-01,2026-07-01
Building Permits,Total Capacity Utilization,0.21154633446578283,714,Growth / Activity,External / Structural,1967-02-01,2026-07-01
Nonfarm Payroll Employment,Unemployment Rate,-0.8785816838019592,941,Labor,Labor,1948-02-01,2026-08-01
Nonfarm Payroll Employment,Average Weekly Hours — Total Private,0.016112715715103882,245,Labor,Labor,2006-04-01,2026-08-01
Nonfarm Payroll Employment,Average Weekly Hours — Manufacturing,0.3719502849051045,1051,Labor,Labor,1939-02-01,2026-08-01
Nonfarm Payroll Employment,Job Openings,0.3343775935957078,307,Labor,Labor,2001-01-01,2026-07-01
Nonfarm Payroll Employment,Labor Force Participation Rate,0.4046080033555916,941,Labor,Labor,1948-02-01,2026-08-01
Nonfarm Payroll Employment,Average Hourly Earnings — Total Private,-0.8469216949745176,245,Labor,Labor,2006-04-01,2026-08-01
Nonfarm Payroll Employment,CPI All Items,0.1547721624546036,953,Labor,Inflation,1947-02-01,2026-08-01
Nonfarm Payroll Employment,Core CPI,0.12413484844660697,833,Labor,Inflation,1957-02-01,2026-08-01
Nonfarm Payroll Employment,PCE Price Index,0.12956302000100492,810,Labor,Inflation,1959-02-01,2026-07-01
Nonfarm Payroll Employment,Core PCE Price Index,0.11108595353936179,810,Labor,Inflation,1959-02-01,2026-07-01
Nonfarm Payroll Employment,Producer Prices — Final Demand,0.2729353863807038,201,Labor,Inflation,2009-12-01,2026-08-01
Nonfarm Payroll Employment,Producer Prices — All Commodities,0.2468602939209736,1051,Labor,Inflation,1939-02-01,2026-08-01
Nonfarm Payroll Employment,Commercial & Industrial Loans,-0.24116667206313133,955,Labor,Credit,1947-02-01,2026-08-01
Nonfarm Payroll Employment,Consumer Credit,0.2537308148444412,1002,Labor,Credit,1943-02-01,2026-07-01
Nonfarm Payroll Employment,Federal Funds Rate,0.1538647425346835,865,Labor,Policy / Liquidity,1954-08-01,2026-08-01
Nonfarm Payroll Employment,Total Bank Reserves,-0.19057818306802268,810,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Nonfarm Payroll Employment,M2 Money Supply,-0.34411652218402644,810,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Nonfarm Payroll Employment,Total Capacity Utilization,0.6771454014703089,714,Labor,External / Structural,1967-02-01,2026-07-01
Unemployment Rate,Average Weekly Hours — Total Private,-0.02323061069246296,243,Labor,Labor,2006-04-01,2026-08-01
Unemployment Rate,Average Weekly Hours — Manufacturing,-0.39253870590638573,941,Labor,Labor,1948-02-01,2026-08-01
Unemployment Rate,Job Openings,-0.3069816951047804,305,Labor,Labor,2001-01-01,2026-07-01
Unemployment Rate,Labor Force Participation Rate,-0.293734662120432,941,Labor,Labor,1948-02-01,2026-08-01
Unemployment Rate,Average Hourly Earnings — Total Private,0.8290332372229251,243,Labor,Labor,2006-04-01,2026-08-01
Unemployment Rate,CPI All Items,-0.11415393713740837,941,Labor,Inflation,1948-02-01,2026-08-01
Unemployment Rate,Core CPI,-0.06615028315456079,833,Labor,Inflation,1957-02-01,2026-08-01
Unemployment Rate,PCE Price Index,-0.0727297111309741,808,Labor,Inflation,1959-02-01,2026-07-01
Unemployment Rate,Core PCE Price Index,-0.057266907168516575,808,Labor,Inflation,1959-02-01,2026-07-01
Unemployment Rate,Producer Prices — Final Demand,-0.25740323390843134,199,Labor,Inflation,2009-12-01,2026-08-01
Unemployment Rate,Producer Prices — All Commodities,-0.19091771717116093,941,Labor,Inflation,1948-02-01,2026-08-01
Unemployment Rate,Commercial & Industrial Loans,0.3218689322940524,941,Labor,Credit,1948-02-01,2026-08-01
Unemployment Rate,Consumer Credit,-0.17995144684990227,940,Labor,Credit,1948-02-01,2026-07-01
Unemployment Rate,Federal Funds Rate,-0.13051334348146537,863,Labor,Policy / Liquidity,1954-08-01,2026-08-01
Unemployment Rate,Total Bank Reserves,0.16382377014128344,808,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Unemployment Rate,M2 Money Supply,0.3292301348990075,808,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Unemployment Rate,Total Capacity Utilization,-0.6386281358729581,712,Labor,External / Structural,1967-02-01,2026-07-01
Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,0.38027843063452,245,Labor,Labor,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,Job Openings,0.31481043907189243,244,Labor,Labor,2006-04-01,2026-07-01
Average Weekly Hours — Total Private,Labor Force Participation Rate,0.04954635602337325,243,Labor,Labor,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,Average Hourly Earnings — Total Private,-0.07570968989076188,245,Labor,Labor,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,CPI All Items,0.09567826151819596,243,Labor,Inflation,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,Core CPI,-0.12673086742752976,243,Labor,Inflation,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,PCE Price Index,0.0879458569044636,244,Labor,Inflation,2006-04-01,2026-07-01
Average Weekly Hours — Total Private,Core PCE Price Index,-0.06700492030931073,244,Labor,Inflation,2006-04-01,2026-07-01
Average Weekly Hours — Total Private,Producer Prices — Final Demand,0.08460348120210946,201,Labor,Inflation,2009-12-01,2026-08-01
Average Weekly Hours — Total Private,Producer Prices — All Commodities,0.12245420111040677,245,Labor,Inflation,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,Commercial & Industrial Loans,0.0747984264872367,245,Labor,Credit,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,Consumer Credit,0.011463507000029478,244,Labor,Credit,2006-04-01,2026-07-01
Average Weekly Hours — Total Private,Federal Funds Rate,0.037340482462102795,245,Labor,Policy / Liquidity,2006-04-01,2026-08-01
Average Weekly Hours — Total Private,Total Bank Reserves,-0.03056281970869264,244,Labor,Policy / Liquidity,2006-04-01,2026-07-01
Average Weekly Hours — Total Private,M2 Money Supply,0.14863069844295923,244,Labor,Policy / Liquidity,2006-04-01,2026-07-01
Average Weekly Hours — Total Private,Total Capacity Utilization,0.23251656457353023,244,Labor,External / Structural,2006-04-01,2026-07-01
Average Weekly Hours — Manufacturing,Job Openings,0.32487801374238084,307,Labor,Labor,2001-01-01,2026-07-01
Average Weekly Hours — Manufacturing,Labor Force Participation Rate,0.25401876375458665,941,Labor,Labor,1948-02-01,2026-08-01
